Disease,Symptoms
Pneumonia,"I feel shortness of breath, and fatigue, and cough"
Appendicitis,"I feel nausea, and abdominal pain, and fever"
Heart Attack,"I feel chest pain, and sweating, and nausea"
Typhoid,"I feel fever, and headache"
Pneumonia,"I feel fatigue, and cough, and shortness of breath, and fever"
Measles,"I feel fever, and rash, and cough, and runny nose"
Malaria,"I feel fever, and headache, and sweating"
Influenza,"I feel runny nose, and sore throat"
Typhoid,"I feel fever, and headache, and abdominal pain"
Dengue,"I feel nausea, and high fever, and rash"
Allergy,"I feel rash, and sneezing, and itchy eyes"
Stroke,"I feel weakness, and confusion"
Stroke,"I feel weakness, and numbness"
Migraine,"I feel vomiting, and aura"
Allergy,"I feel itchy eyes, and rash, and sneezing"
Kidney Stones,"I feel nausea, and severe pain"
Stroke,"I feel confusion, and numbness, and slurred speech, and weakness"
Urinary Tract Infection,"I feel frequent urination, and cloudy urine, and painful urination"
Malaria,"I feel sweating, and fever"
Gastritis,"I feel abdominal pain, and bloating, and vomiting"
Cholera,"I feel dehydration, and vomiting, and diarrhea"
Appendicitis,"I feel abdominal pain, and fever"
Epilepsy,"I feel loss of consciousness, and seizures, and confusion"
Influenza,"I feel cough, and sore throat, and body aches"
Stroke,"I feel slurred speech, and weakness, and confusion"
Malaria,"I feel chills, and fever"
Dengue,"I feel joint pain, and rash, and headache, and nausea"
Asthma,"I feel chest tight, and trouble sleeping, and wheezing"
Malaria,"I feel nausea, and sweating"
Heart Attack,"I feel shortness of breath, and nausea, and sweating, and chest pain"
Diabetes,"I feel pee often, and hungry all the time, and tired"
Sinusitis,"I feel facial pain, and headache"
Food Poisoning,"I feel nausea, and abdominal pain, and vomiting"
